파일명,카테고리,판정,사유,깃잡음,메치기시도,메치기기술,V넥,색상트림,전자호구,헤드기어,높은발차기,회전발차기,손기술중심,낮은자세손기술,깃형여밈,두꺼운캔버스,여밈,질의,메모
award\pexels-10435675.jpg,award,,,,,,,,,,,,,,,,,award ceremony stage,
award\pexels-10815750.jpg,award,,,,,,,,,,,,,,,,,trophy close up,
award\pexels-11734200.jpg,award,,,,,,,,,,,,,,,,,sports podium ceremony,
award\pexels-12478054.jpg,award,,,,,,,,,,,,,,,,,award ceremony stage,
award\pexels-14792845.jpg,award,,,,,,,,,,,,,,,,,winner celebration sport,
award\pexels-18824449.jpg,award,,,,,,,,,,,,,,,,,gold medal athlete,
award\pexels-33782025.jpg,award,,,,,,,,,,,,,,,,,medal hanging ribbon,
award\pexels-34384082.jpg,award,,,,,,,,,,,,,,,,,medal hanging ribbon,
award\pexels-34910397.jpg,award,,,,,,,,,,,,,,,,,gold medal athlete,
award\pexels-35347469.jpg,award,,,,,,,,,,,,,,,,,sports podium ceremony,
award\pexels-36512552.jpg,award,,,,,,,,,,,,,,,,,award ceremony stage,
award\pexels-3797.jpg,award,,,,,,,,,,,,,,,,,winner celebration sport,
award\pexels-39284784.jpg,award,,,,,,,,,,,,,,,,,award ceremony stage,
award\pexels-5066945.jpg,award,,,,,,,,,,,,,,,,,medal hanging ribbon,
award\pexels-5735788.jpg,award,,,,,,,,,,,,,,,,,winner celebration sport,
award\pexels-6250928.jpg,award,,,,,,,,,,,,,,,,,medal hanging ribbon,
award\pexels-6250962.jpg,award,,,,,,,,,,,,,,,,,winner celebration sport,
award\pexels-6250976.jpg,award,,,,,,,,,,,,,,,,,gold medal athlete,
award\pexels-6250984.jpg,award,,,,,,,,,,,,,,,,,gold medal athlete,
award\pexels-6345354.jpg,award,,,,,,,,,,,,,,,,,medal hanging ribbon,
award\pexels-6532362.jpg,award,,,,,,,,,,,,,,,,,trophy close up,
award\pexels-6532364.jpg,award,,,,,,,,,,,,,,,,,trophy close up,
award\pexels-6532365.jpg,award,,,,,,,,,,,,,,,,,award ceremony stage,
award\pexels-6532594.jpg,award,,,,,,,,,,,,,,,,,trophy close up,
award\pexels-6565251.jpg,award,,,,,,,,,,,,,,,,,trophy close up,
award\pexels-6565252.jpg,award,,,,,,,,,,,,,,,,,trophy close up,
award\pexels-6668812.jpg,award,,,,,,,,,,,,,,,,,winner celebration sport,
award\pexels-6668815.jpg,award,,,,,,,,,,,,,,,,,gold medal athlete,
award\pexels-6827098.jpg,award,,,,,,,,,,,,,,,,,medal hanging ribbon,
award\pexels-6827106.jpg,award,,,,,,,,,,,,,,,,,gold medal athlete,
award\pexels-6827111.jpg,award,,,,,,,,,,,,,,,,,winner celebration sport,
award\pexels-6827124.jpg,award,,,,,,,,,,,,,,,,,medal hanging ribbon,
award\pexels-6827128.jpg,award,,,,,,,,,,,,,,,,,gold medal athlete,
award\pexels-7005050.jpg,award,,,,,,,,,,,,,,,,,trophy close up,
award\pexels-7005685.jpg,award,,,,,,,,,,,,,,,,,winner celebration sport,
award\pexels-7267573.jpg,award,,,,,,,,,,,,,,,,,sports podium ceremony,
award\pexels-7267585.jpg,award,,,,,,,,,,,,,,,,,sports podium ceremony,
award\pexels-7267588.jpg,award,,,,,,,,,,,,,,,,,sports podium ceremony,
award\pexels-7267591.jpg,award,,,,,,,,,,,,,,,,,sports podium ceremony,
award\pexels-9654723.jpg,award,,,,,,,,,,,,,,,,,sports podium ceremony,
feet\pexels-34578255.jpg,feet,,,,,,,,,,,,,,,,,feet on wooden floor,
feet\pexels-35069730.jpg,feet,,,,,,,,,,,,,,,,,feet on wooden floor,
feet\pexels-35960332.jpg,feet,,,,,,,,,,,,,,,,,bare feet mat,
feet\pexels-4804038.jpg,feet,,,,,,,,,,,,,,,,,barefoot training floor,
feet\pexels-4804308.jpg,feet,,,,,,,,,,,,,,,,,barefoot training floor,
feet\pexels-4804317.jpg,feet,,,,,,,,,,,,,,,,,barefoot training floor,
feet\pexels-4804320.jpg,feet,,,,,,,,,,,,,,,,,barefoot training floor,
feet\pexels-4804380.jpg,feet,,,,,,,,,,,,,,,,,barefoot training floor,
feet\pexels-5793797.jpg,feet,,,,,,,,,,,,,,,,,feet on wooden floor,
feet\pexels-5904034.jpg,feet,,,,,,,,,,,,,,,,,feet on wooden floor,
feet\pexels-6221472.jpg,feet,,,,,,,,,,,,,,,,,barefoot training floor,
feet\pexels-6739086.jpg,feet,,,,,,,,,,,,,,,,,bare feet mat,
feet\pexels-6926602.jpg,feet,,,,,,,,,,,,,,,,,barefoot training floor,
feet\pexels-7484873.jpg,feet,,,,,,,,,,,,,,,,,bare feet mat,
feet\pexels-7484879.jpg,feet,,,,,,,,,,,,,,,,,bare feet mat,
feet\pexels-7597211.jpg,feet,,,,,,,,,,,,,,,,,feet on wooden floor,
feet\pexels-8436639.jpg,feet,,,,,,,,,,,,,,,,,bare feet mat,
feet\pexels-8436694.jpg,feet,,,,,,,,,,,,,,,,,bare feet mat,
feet\pexels-8436844.jpg,feet,,,,,,,,,,,,,,,,,bare feet mat,
feet\pexels-9167120.jpg,feet,,,,,,,,,,,,,,,,,feet on wooden floor,
gear\pexels-11045283.jpg,gear,,,,,,,,,,,,,,,,,kick pad training,
gear\pexels-11733651.jpg,gear,,,,,,,,,,,,,,,,,folded uniform clothing,
gear\pexels-14840775.jpg,gear,,,,,,,,,,,,,,,,,boxing headgear,
gear\pexels-14898659.jpg,gear,,,,,,,,,,,,,,,,,boxing headgear,
gear\pexels-15577062.jpg,gear,,,,,,,,,,,,,,,,,black belt close up,
gear\pexels-15937361.jpg,gear,,,,,,,,,,,,,,,,,white martial arts uniform,
gear\pexels-15937366.jpg,gear,,,,,,,,,,,,,,,,,white martial arts uniform,
gear\pexels-15937411.jpg,gear,,,,,,,,,,,,,,,,,martial arts belt,
gear\pexels-15937525.jpg,gear,,,,,,,,,,,,,,,,,martial arts belt,
gear\pexels-20471000.jpg,gear,,,,,,,,,,,,,,,,,boxing headgear,
gear\pexels-20508794.jpg,gear,,,,,,,,,,,,,,,,,white martial arts uniform,
gear\pexels-23531700.jpg,gear,,,,,,,,,,,,,,,,,kick pad training,
gear\pexels-27302386.jpg,gear,,,,,,,,,,,,,,,,,boxing headgear,
gear\pexels-27302387.jpg,gear,,,,,,,,,,,,,,,,,boxing headgear,
gear\pexels-29218252.jpg,gear,,,,,,,,,,,,,,,,,black belt close up,
gear\pexels-29332767.jpg,gear,,,,,,,,,,,,,,,,,white martial arts uniform,
gear\pexels-3023670.jpg,gear,,,,,,,,,,,,,,,,,black belt close up,
gear\pexels-31031033.jpg,gear,,,,,,,,,,,,,,,,,folded uniform clothing,
gear\pexels-31251577.jpg,gear,,,,,,,,,,,,,,,,,folded uniform clothing,
gear\pexels-31259205.jpg,gear,,,,,,,,,,,,,,,,,folded uniform clothing,
gear\pexels-31259219.jpg,gear,,,,,,,,,,,,,,,,,folded uniform clothing,
gear\pexels-31403621.jpg,gear,,,,,,,,,,,,,,,,,boxing headgear,
gear\pexels-34621803.jpg,gear,,,,,,,,,,,,,,,,,boxing headgear,
gear\pexels-4109759.jpg,gear,,,,,,,,,,,,,,,,,folded uniform clothing,
gear\pexels-4164506.jpg,gear,,,,,,,,,,,,,,,,,black belt close up,
gear\pexels-4971298.jpg,gear,,,,,,,,,,,,,,,,,protective sports gear,
gear\pexels-5750879.jpg,gear,,,,,,,,,,,,,,,,,kick pad training,
gear\pexels-5999201.jpg,gear,,,,,,,,,,,,,,,,,black belt close up,
gear\pexels-6005464.jpg,gear,,,,,,,,,,,,,,,,,white martial arts uniform,
gear\pexels-6005472.jpg,gear,,,,,,,,,,,,,,,,,white martial arts uniform,
gear\pexels-6253307.jpg,gear,,,,,,,,,,,,,,,,,martial arts belt,
gear\pexels-6253308.jpg,gear,,,,,,,,,,,,,,,,,black belt close up,
